dma_id	dma	dma_code	dma_desc	lat	lon
91	CORPUS CHRISTI	600	"Corpus Christi, TX"	27.6933695	-97.8595055
123	DALLAS-FT. WORTH	623	"Dallas-Ft. Worth, TX"	32.702473	-97.098903
162	DAVENPORT-R.ISLAND-MOLINE	682	"Davenport, IA-Rock Island-Moline, IL"	41.5680725	-90.4412815
32	DAYTON	542	"Dayton, OH"	40.1392235	-84.3547855
170	DENVER	751	"Denver, CO"	40.9981425	-108.925452
36	DES MOINES-AMES	679	"Des Moines-Ames, IA"	41.8822865	-93.6950785
64	DETROIT	505	"Detroit, MI"	42.7069935	-83.2883905
117	DOTHAN	606	"Dothan, AL"	31.2429535	-85.412413
34	DULUTH-SUPERIOR	676	"Duluth, MN-Superior, WI"	47.169647	-91.7104225
161	EL PASO	765	"El Paso, TX"	31.840946	-105.6619505
173	ELMIRA	565	"Elmira, NY"	42.0595215	-77.1441155
3	ERIE	516	"Erie, PA"	41.8794375	-79.717601
119	EUGENE	801	"Eugene, OR"	43.6937855	-123.1256445
188	EUREKA	802	"Eureka, CA"	41.001389	-123.908896
10	EVANSVILLE	649	"Evansville, IN"	37.8233245	-87.5662395
72	FAIRBANKS	NULL	NULL	59.9599	-162.8919
159	FARGO-VALLEY CITY	724	"Fargo-Valley City, ND"	47.659799	-97.1383975
92	FLINT-SAGINAW-BAY CITY	513	"Flint-Saginaw-Bay City, MI"	43.643882	-83.847331
125	FLORENCE-MYRTLE BEACH	570	"Myrtle Beach-Florence, SC"	34.2987775	-79.419767
186	FRESNO-VISALIA	866	"Fresno-Visalia, CA"	36.846642	-119.613123
37	FT. MYERS-NAPLES	571	"Ft. Myers-Naples, FL"	26.5720265	-81.6230635
135	FT. SMITH-FAY-SPRNGDL-RGRS	670	"Ft. Smith-Fayetteville-Springdale-Rogers, AR"	35.5031505	-94.202877
90	FT. WAYNE	509	"Ft. Wayne, IN"	41.0334615	-85.1430895
126	GAINESVILLE	592	"Gainesville, FL"	29.4735495	-82.7294775
62	GRAND JUNCTION-MONTROSE	773	"Grand Junction-Montrose, CO"	38.425681	-108.2153545
66	GRAND RAPIDS-KALMZOO-B.CRK	563	"Grand Rapids-Kalamazoo-Battle Creek, MI"	42.7892405	-85.624075
121	GREAT FALLS	755	"Great Falls, MT"	47.838823	-109.9362935
166	GREEN BAY-APPLETON	658	"Green Bay-Appleton, WI"	44.7644785	-88.2017
33	GREENSBORO-H.POINT-W.SALEM	518	"Greensboro-High Point-Winston Salem, NC"	35.994693	-80.4077355
108	GREENVILLE-N.BERN-WASHNGTN	545	"Greenville-New Bern-Washington, NC"	35.342169	-76.9754245
41	GREENVLL-SPART-ASHEVLL-AND	567	"Greenville-Spartanburg, SC-Asheville, NC-Anderson,SC"	35.0526635	-82.697701
24	GREENWOOD-GREENVILLE	647	"Greenwood-Greenville, MS"	33.585109	-90.4836365
165	HARLINGEN-WSLCO-BRNSVL-MCA	636	"Harlingen-Weslaco-Brownsville-McAllen, TX"	26.311933	-98.157698
83	HARRISBURG-LNCSTR-LEB-YORK	566	"Harrisburg-Lancaster-Lebanon-York, PA"	40.2836345	-76.882001
143	HARRISONBURG	569	"Harrisonburg, VA"	38.4231645	-79.0679395
53	HARTFORD & NEW HAVEN	533	"Hartford & New Haven, CT"	41.612664	-72.659358
73	HATTIESBURG-LAUREL	710	"Hattiesburg-Laurel, MS"	31.5670435	-89.2449615
127	HELENA	766	"Helena, MT"	47.1878	-112.3319335
47	HONOLULU	NULL	NULL	21.387995	-157.930473
107	HOUSTON	618	"Houston, TX"	29.606092	-95.6464085
29	IDAHO FALLS-POCATELLO	758	"Idaho Falls-Pocatello, ID"	43.641669	-112.6765315
187	INDIANAPOLIS	527	"Indianapolis, IN"	39.84288	-86.1652105
138	"JACKSON, TN"	639	"Jackson, TN"	35.5707925	-88.530231
54	"JACKSONVILLE, BRUNSWICK"	561	"Jacksonville, FL"	30.427575	-82.006576
190	JOHNSTOWN-ALTOONA	574	"Johnstown-Altoona, PA"	40.673069	-78.328162
122	JOPLIN-PITTSBURG	603	"Joplin, MO-Pittsburg, KS"	37.2695535	-95.0098365
155	KANSAS CITY	616	"Kansas City, MO"	39.3042305	-94.208994
76	KNOXVILLE	557	"Knoxville, TN"	36.112655	-84.0422025
104	LA CROSSE-EAU CLAIRE	702	"La Crosse-Eau Claire, WI"	44.313217	-91.197266
48	"LAFAYETTE, LA"	642	"Lafayette, LA"	30.2379905	-92.1119525
176	LANSING	551	"Lansing, MI"	42.4074535	-84.602594
60	LAREDO	749	"Laredo, TX"	27.388155	-99.5051385
132	LAS VEGAS	839	"Las Vegas, NV"	37.082759	-116.121556
130	LEXINGTON	541	"Lexington, KY"	37.584915	-83.9929735
139	LINCOLN & HSTNGS-KRNY PLUS	722	"Lincoln & Hastings-Kearney, NE"	41.282784	-99.257628
67	LITTLE ROCK-PINE BLUFF	693	"Little Rock-Pine Bluff, AR"	34.647081	-92.670434
78	LOS ANGELES	803	"Los Angeles, CA"	33.9	-118.25
141	LOUISVILLE	529	"Louisville, KY"	38.1524665	-85.7750445
30	LUBBOCK	651	"Lubbock, TX"	33.4181475	-101.791018
191	MACON	503	"Macon, GA"	32.6218675	-83.3190475
31	MADISON	669	"Madison, WI"	43.370746	-89.9627745
68	MEDFORD-KLAMATH FALLS	813	"Medford-Klamath Falls, OR"	42.3097025	-121.9634415
167	MEMPHIS	640	"Memphis, TN"	35.1946395	-89.757956
70	MIAMI-FT. LAUDERDALE	528	"Miami-Fort Lauderdale, FL"	25.439022	-80.940626
109	MILWAUKEE	617	"Milwaukee, WI"	43.1921015	-88.358241
174	MINNEAPOLIS-ST. PAUL	613	"Minneapolis-St. Paul, MN"	46.0197555	-94.199023
115	MINOT-BISMARCK-DICKINSON	687	"Minot-Bismarck-Dickinson(Williston), ND"	46.8731805	-102.71806
152	MISSOULA	762	"Missoula, MT"	47.229117	-114.464452
82	MOBILE-PENSACOLA	686	"Mobile, AL-Pensacola (Ft. Walton Beach), FL"	31.1061175	-87.6151775
181	MONROE-EL DORADO	628	"Monroe, LA-El Dorado, AR"	32.1842885	-91.9321725
13	MONTEREY-SALINAS	828	"Monterey-Salinas, CA"	36.537526	-121.265832
35	MONTGOMERY	698	"Montgomery-Selma, AL"	32.0506805	-86.7675715
145	NASHVILLE	659	"Nashville, TN"	36.07259	-86.631128
11	NEW ORLEANS	622	"New Orleans, LA"	29.9723295	-90.0824885
116	NEW YORK	501	"New York, NY"	40.839717	-73.6072985
110	NORFOLK-PORTSMTH-NEWPT NWS	544	"Norfolk-Portsmouth-Newport News, VA"	36.608336	-76.3720915
178	ODESSA-MIDLAND	633	"Odessa-Midland, TX"	30.781491	-103.077288
25	OKLAHOMA CITY	650	"Oklahoma City, OK"	35.667342	-97.9919705
99	OMAHA	652	"Omaha, NE"	41.1056295	-96.150686
142	ORLANDO-DAYTONA BCH-MELBRN	534	"Orlando-Daytona Beach-Melbourne, FL"	28.6562235	-81.4963015
52	PADUCAH-C.GIRD-HARBG-MT VN	632	"Paducah, KY-Cape Girardeau, MO-Harrisburg, IL"	37.2352865	-89.497325
100	PALM SPRINGS	804	"Palm Springs, CA"	33.72988	-116.2354255
49	PANAMA CITY	656	"Panama City, FL"	30.293713	-85.3696325
164	PARKERSBURG	597	"Parkersburg, WV"	39.336078	-81.4306435
147	PEORIA-BLOOMINGTON	675	"Peoria-Bloomington, IL"	40.6826125	-89.343186
105	PHILADELPHIA	504	"Philadelphia, PA"	39.8995855	-75.3874975
111	PHOENIX	753	"Phoenix, AZ"	34.7133875	-111.899851
177	PITTSBURGH	508	"Pittsburgh, PA"	40.409733	-79.6590145
169	PORTLAND-AUBURN	500	"Portland-Auburn, ME"	44.366668	-70.1830055
5	"PORTLAND, OR"	820	"Portland, OR"	44.191309	-120.4498885
23	PROVIDENCE-NEW BEDFORD	521	"Providence, RI-New Bedford, MA"	41.620932	-71.351281
149	QUINCY-HANNIBAL-KEOKUK	717	"Quincy, IL-Hannibal, MO-Keokuk, IA"	40.066065	-91.1726125
55	RALEIGH-DURHAM	560	"Raleigh-Durham (Fayetteville), NC"	35.72255	-78.4212995
57	RAPID CITY	764	"Rapid City, SD"	43.7649485	-104.4792695
89	RENO	811	"Reno, NV"	39.4852355	-118.959289
182	RICHMOND-PETERSBURG	556	"Richmond-Petersburg, VA"	37.4686305	-77.5349825
154	ROANOKE-LYNCHBURG	573	"Roanoke-Lynchburg, VA"	37.6408795	-79.9113685
93	"ROCHESTER, NY"	611	"Rochester, NY"	43.552183	-92.850969
179	ROCHESTR-MASON CITY-AUSTIN	538	"Rochester, MN-Mason City, IA-Austin, MN"	42.9137715	-77.387152
1	ROCKFORD	610	"Rockford, IL"	42.0453555	-89.316059
137	SACRAMNTO-STKTON-MODESTO	862	"Sacramento-Stockton-Modesto, CA"	38.7885185	-120.9905465
184	SALISBURY	576	"Salisbury, MD"	38.4437985	-75.548586
8	SALT LAKE CITY	770	"Salt Lake City, UT"	40.23193	-112.26407
118	SAN ANGELO	661	"San Angelo, TX"	31.186904	-100.740601
98	SAN ANTONIO	641	"San Antonio, TX"	29.2651455	-99.1607395
134	SAN DIEGO	825	"San Diego, CA"	33.0195915	-116.8402815
63	SAN FRANCISCO-OAK-SAN JOSE	807	"San Francisco-Oakland-San Jose, CA"	38.4477155	-122.6193155
51	SANTABARBRA-SANMAR-SANLUOB	855	"Santa Barbara-Santa Maria-San Luis Obispo, CA"	34.844663	-120.4100205
87	SAVANNAH	507	"Savannah, GA"	32.168191	-81.6330685
80	SEATTLE-TACOMA	819	"Seattle-Tacoma, WA"	47.621239	-121.842349
163	SHERMAN-ADA	657	"Sherman, TX-Ada, OK"	34.181478	-96.2499835
50	SHREVEPORT	612	"Shreveport, LA"	32.820852	-94.0138375
113	SIOUX CITY	624	"Sioux City, IA"	42.621459	-96.376337
74	SIOUX FALLS(MITCHELL)	725	"Sioux Falls (Mitchell), SD"	44.0133785	-98.735199
168	SOUTH BEND-ELKHART	588	"South Bend-Elkhart, IN"	41.576527	-86.062314
185	SPOKANE	881	"Spokane, WA"	47.0398515	-117.603633
43	SPRINGFIELD-HOLYOKE	543	"Springfield-Holyoke, MA"	42.3856895	-72.6017095
58	"SPRINGFIELD, MO"	619	"Springfield, MO"	37.1293385	-92.5469955
172	ST. LOUIS	609	"St. Louis, MO"	38.434253	-90.169254
146	SYRACUSE	555	"Syracuse, NY"	42.9849975	-76.1014455
150	TALLAHASSEE-THOMASVILLE	530	"Tallahassee, FL-Thomasville, GA"	30.462299	-83.675708
77	"TAMPA-ST. PETE,SARASOTA"	539	"Tampa-St. Petersburg (Sarasota), FL"	27.9989465	-81.8973955
81	TERRE HAUTE	581	"Terre Haute, IN"	39.2814045	-87.6904085
148	TOLEDO	547	"Toledo, OH"	41.384993	-83.7585085
59	TOPEKA	605	"Topeka, KS"	39.0201515	-96.5557205
75	TRAVERSE CITY-CADILLAC	540	"Traverse City-Cadillac, MI"	45.119199	-84.9520115
2	"TRI-CITIES, TN-VA"	531	"Tri-Cities, TN-VA"	36.732483	-82.468517
175	TUCSON(NOGALES)	789	"Tucson (Sierra Vista), AZ"	31.923023	-111.1907555
79	TULSA	671	"Tulsa, OK"	35.9900205	-95.7685615
15	TUSCALOOSA	630	"Birmingham (Anniston and Tuscaloosa), AL"	33.5031	-86.869635
16	TWIN FALLS	760	"Twin Falls, ID"	42.994495	-114.043651
189	TYLER-LONGVIEW(LFKN&NCGD)	709	"Tyler-Longview(Lufkin & Nacogdoches), TX"	32.1070105	-94.8806935
0	UNKNOWN	NULL	NULL	NULL	NULL
101	UTICA	526	"Utica, NY"	43.205527	-75.026249
26	WACO-TEMPLE-BRYAN	625	"Waco-Temple-Bryan, TX"	31.0795205	-97.3521605
112	"WASHINGTON, DC, HAGERSTOWN"	511	"Washington, DC (Hagerstown, MD)"	39.127683	-77.904362
183	WATERTOWN	549	"Watertown, NY"	44.217164	-75.4894475
56	WAUSAU-RHINELANDER	705	"Wausau-Rhinelander, WI"	44.9711405	-89.6752625
157	WEST PALM BEACH-FT. PIERCE	548	"West Palm Beach-Ft. Pierce, FL"	27.096694	-80.6271745
129	WICHITA FALLS & LAWTON	627	"Wichita Falls, TX-Lawton, OK"	33.9059285	-99.039775
19	WICHITA-HUTCHINSON PLUS	678	"Wichita-Hutchinson, KS Plus"	38.672948	-99.005353
103	WILKES BARRE-SCRANTON	577	"Wilkes Barre-Scranton, PA"	41.2488125	-76.530153
120	WILMINGTON	550	"Wilmington, NC"	34.3480385	-78.294559
46	YAKIMA-PASCO-RCHLND-KNNWCK	810	"Yakima-Pasco-Richland-Kennewick, WA"	46.29578	-119.748852
38	YOUNGSTOWN	536	"Youngstown, OH"	41.0505515	-80.543523
44	YUMA-EL CENTRO	771	"Yuma, AZ-El Centro, CA"	32.751631	-114.7199745
